Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
C217,0402-CAP,92.90mm,154.37mm,B,90,0.1u,,
C218,0402-CAP,94.17mm,146.75mm,B,-90,0.1u,,
C240,805,101.79mm,105.95mm,B,-90,10u,,
C243,805,94.33mm,153.89mm,B,90,10u,,
C244,0402-CAP,96.87mm,156.59mm,B,0,0.1u,,
C246,805,100.05mm,105.95mm,B,-90,10u,,
C249,805,95.60mm,141.67mm,B,-90,10u,,
C250,0402-CAP,97.03mm,141.99mm,B,-90,0.1u,,
C252,805,96.40mm,105.95mm,B,-90,10u,,
C257,0402-CAP,136.72mm,85.95mm,B,90,0.1u,,
C272,0402-CAP,97.35mm,219.77mm,B,180,0.1u,,
C273,805,94.33mm,75.31mm,B,90,10u,,
C274,0402-CAP,96.87mm,77.53mm,B,0,0.1u,,
C275,805,95.60mm,62.93mm,B,-90,10u,,
C276,0402-CAP,97.03mm,63.25mm,B,-90,0.1u,,
C279,0402-CAP,88.46mm,72.45mm,B,0,1u,,
C281,805,87.98mm,75.95mm,B,-90,10u,,
C282,805,88.30mm,68.64mm,B,90,10u,,
C283,0402-CAP,86.87mm,68.48mm,B,90,0.1u,,
C284,0402-CAP,86.55mm,76.26mm,B,-90,0.1u,,
C285,0402-CAP,88.46mm,73.72mm,B,180,0.1u,,
C286,805,91.16mm,75.95mm,B,90,10u,,
C287,805,92.90mm,68.33mm,B,-90,10u,,
C288,0402-CAP,92.59mm,75.63mm,B,90,0.1u,,
C289,0402-CAP,94.17mm,68.01mm,B,-90,0.1u,,
C290,0402-CAP,144.97mm,106.58mm,B,-90,1n,,
C291,0402-CAP,145.13mm,90.07mm,B,-90,1n,,
C328,0402-CAP,83.22mm,15.62mm,B,180,0.1u,,
C329,0402-CAP,87.82mm,13.40mm,B,180,0.1u,,
C330,0402-CAP,91.16mm,20.86mm,B,180,0.1u,,
D1,SOD-323,41.31mm,14.03mm,B,180,BAT20JFILM,1,
D2,SOD-323,12.26mm,21.02mm,B,180,LOWLEAKAGE,1,4W
D3,SOD-323,12.26mm,22.61mm,B,0,LOWLEAKAGE,1,4W
D4,SOD-323,35.12mm,17.21mm,B,180,LOWLEAKAGE,1,
D5,SMA-DIODE,18.93mm,19.91mm,B,-90,TVSSMA,1,4W
D6,SMA-DIODE,23.53mm,22.76mm,B,-90,TVSSMA,1,4W
D7,SOD-323,35.12mm,18.80mm,B,0,LOWLEAKAGE,1,
D8,SOD-323,13.05mm,14.03mm,B,180,LOWLEAKAGE,1,4W
D9,SOD-323,13.05mm,15.62mm,B,0,LOWLEAKAGE,1,4W
D10,SOD-323,41.31mm,26.73mm,B,180,BAT20JFILM,2,
D11,SOD-323,12.26mm,33.72mm,B,180,LOWLEAKAGE,2,4W
D12,SOD-323,12.26mm,35.30mm,B,0,LOWLEAKAGE,2,4W
D13,SOD-323,35.12mm,29.91mm,B,180,LOWLEAKAGE,2,
D14,SMA-DIODE,18.93mm,32.61mm,B,-90,TVSSMA,2,4W
D15,SMA-DIODE,23.53mm,35.46mm,B,-90,TVSSMA,2,4W
D16,SOD-323,35.12mm,31.50mm,B,0,LOWLEAKAGE,2,
D17,SOD-323,13.05mm,26.73mm,B,180,LOWLEAKAGE,2,4W
D18,SOD-323,13.05mm,28.32mm,B,0,LOWLEAKAGE,2,4W
D19,SOD-323,41.31mm,39.43mm,B,180,BAT20JFILM,3,
D20,SOD-323,12.26mm,46.42mm,B,180,LOWLEAKAGE,3,4W
D21,SOD-323,12.26mm,48.01mm,B,0,LOWLEAKAGE,3,4W
D22,SOD-323,35.12mm,42.61mm,B,180,LOWLEAKAGE,3,
D23,SMA-DIODE,18.93mm,45.31mm,B,-90,TVSSMA,3,4W
D24,SMA-DIODE,23.53mm,48.16mm,B,-90,TVSSMA,3,4W
D25,SOD-323,35.12mm,44.20mm,B,0,LOWLEAKAGE,3,
D26,SOD-323,13.05mm,39.43mm,B,180,LOWLEAKAGE,3,4W
D27,SOD-323,13.05mm,41.02mm,B,0,LOWLEAKAGE,3,4W
D28,SOD-323,41.31mm,52.13mm,B,180,BAT20JFILM,4,
D29,SOD-323,12.26mm,59.12mm,B,180,LOWLEAKAGE,4,4W
D30,SOD-323,12.26mm,60.71mm,B,0,LOWLEAKAGE,4,4W
D31,SOD-323,35.12mm,55.31mm,B,180,LOWLEAKAGE,4,
D32,SMA-DIODE,18.93mm,58.01mm,B,-90,TVSSMA,4,4W
D33,SMA-DIODE,23.53mm,60.86mm,B,-90,TVSSMA,4,4W
D34,SOD-323,35.12mm,56.90mm,B,0,LOWLEAKAGE,4,
D35,SOD-323,13.05mm,52.13mm,B,180,LOWLEAKAGE,4,4W
D36,SOD-323,13.05mm,53.72mm,B,0,LOWLEAKAGE,4,4W
