Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
C209,0402-CAP,7.26mm,133.94mm,T,-90,0.1u,,
C210,0402-CAP,9.16mm,131.40mm,T,180,0.1u,,
C215,805,12.18mm,133.62mm,T,-90,10u,,
C216,805,13.61mm,126.00mm,T,-90,10u,,
C217,0402-CAP,13.61mm,133.30mm,T,-90,0.1u,,
C218,0402-CAP,14.88mm,125.68mm,T,-90,0.1u,,
C240,805,22.50mm,84.88mm,T,-90,10u,,
C243,805,15.03mm,132.83mm,T,-90,10u,,
C244,0402-CAP,17.57mm,135.53mm,T,0,0.1u,,
C246,805,20.75mm,84.88mm,T,-90,10u,,
C249,805,16.30mm,120.60mm,T,-90,10u,,
C250,0402-CAP,17.73mm,120.92mm,T,-90,0.1u,,
C252,805,17.10mm,84.88mm,T,-90,10u,,
C257,0402-CAP,57.42mm,64.88mm,T,-90,0.1u,,
C272,0402-CAP,18.05mm,198.71mm,T,180,0.1u,,
C273,805,15.03mm,54.25mm,T,-90,10u,,
C274,0402-CAP,17.57mm,56.47mm,T,0,0.1u,,
C275,805,16.30mm,41.86mm,T,-90,10u,,
C276,0402-CAP,17.73mm,42.18mm,T,-90,0.1u,,
C279,0402-CAP,9.16mm,51.39mm,T,0,1u,,
C281,805,8.68mm,54.88mm,T,-90,10u,,
C282,805,9.00mm,47.58mm,T,-90,10u,,
C283,0402-CAP,7.57mm,47.42mm,T,-90,0.1u,,
C284,0402-CAP,7.26mm,55.20mm,T,-90,0.1u,,
C285,0402-CAP,9.16mm,52.66mm,T,180,0.1u,,
C286,805,11.86mm,54.88mm,T,-90,10u,,
C287,805,13.61mm,47.26mm,T,-90,10u,,
C288,0402-CAP,13.29mm,54.56mm,T,-90,0.1u,,
C289,0402-CAP,14.88mm,46.94mm,T,-90,0.1u,,
C290,0402-CAP,65.67mm,85.52mm,T,-90,1n,,
C291,0402-CAP,65.83mm,69.01mm,T,-90,1n,,
C328,0402-CAP,3.92mm,-5.45mm,T,180,0.1u,,
C329,0402-CAP,8.53mm,-7.67mm,T,180,0.1u,,
C330,0402-CAP,11.86mm,-0.21mm,T,180,0.1u,,
D1,SOD-323,-37.99mm,-7.03mm,T,180,BAT20JFILM,1,
D2,SOD-323,-67.04mm,-0.05mm,T,180,LOWLEAKAGE,1,4W
D3,SOD-323,-67.04mm,1.54mm,T,0,LOWLEAKAGE,1,4W
D4,SOD-323,-44.18mm,-3.86mm,T,180,LOWLEAKAGE,1,
D5,SMA-DIODE,-60.37mm,-1.16mm,T,-90,TVSSMA,1,4W
D6,SMA-DIODE,-55.77mm,1.70mm,T,-90,TVSSMA,1,4W
D7,SOD-323,-44.18mm,-2.27mm,T,0,LOWLEAKAGE,1,
D8,SOD-323,-66.25mm,-7.03mm,T,180,LOWLEAKAGE,1,4W
D9,SOD-323,-66.25mm,-5.45mm,T,0,LOWLEAKAGE,1,4W
D10,SOD-323,-37.99mm,5.67mm,T,180,BAT20JFILM,2,
D11,SOD-323,-67.04mm,12.65mm,T,180,LOWLEAKAGE,2,4W
D12,SOD-323,-67.04mm,14.24mm,T,0,LOWLEAKAGE,2,4W
D13,SOD-323,-44.18mm,8.84mm,T,180,LOWLEAKAGE,2,
D14,SMA-DIODE,-60.37mm,11.54mm,T,-90,TVSSMA,2,4W
D15,SMA-DIODE,-55.77mm,14.40mm,T,-90,TVSSMA,2,4W
D16,SOD-323,-44.18mm,10.43mm,T,0,LOWLEAKAGE,2,
D17,SOD-323,-66.25mm,5.67mm,T,180,LOWLEAKAGE,2,4W
D18,SOD-323,-66.25mm,7.25mm,T,0,LOWLEAKAGE,2,4W
D19,SOD-323,-37.99mm,18.37mm,T,180,BAT20JFILM,3,
D20,SOD-323,-67.04mm,25.35mm,T,180,LOWLEAKAGE,3,4W
D21,SOD-323,-67.04mm,26.94mm,T,0,LOWLEAKAGE,3,4W
D22,SOD-323,-44.18mm,21.54mm,T,180,LOWLEAKAGE,3,
D23,SMA-DIODE,-60.37mm,24.24mm,T,-90,TVSSMA,3,4W
D24,SMA-DIODE,-55.77mm,27.10mm,T,-90,TVSSMA,3,4W
D25,SOD-323,-44.18mm,23.13mm,T,0,LOWLEAKAGE,3,
D26,SOD-323,-66.25mm,18.37mm,T,180,LOWLEAKAGE,3,4W
D27,SOD-323,-66.25mm,19.96mm,T,0,LOWLEAKAGE,3,4W
D28,SOD-323,-37.99mm,31.07mm,T,180,BAT20JFILM,4,
D29,SOD-323,-67.04mm,38.05mm,T,180,LOWLEAKAGE,4,4W
D30,SOD-323,-67.04mm,39.64mm,T,0,LOWLEAKAGE,4,4W
D31,SOD-323,-44.18mm,34.24mm,T,180,LOWLEAKAGE,4,
D32,SMA-DIODE,-60.37mm,36.94mm,T,-90,TVSSMA,4,4W
D33,SMA-DIODE,-55.77mm,39.80mm,T,-90,TVSSMA,4,4W
D34,SOD-323,-44.18mm,35.83mm,T,0,LOWLEAKAGE,4,
D35,SOD-323,-66.25mm,31.07mm,T,180,LOWLEAKAGE,4,4W
D36,SOD-323,-66.25mm,32.66mm,T,0,LOWLEAKAGE,4,4W
D37,SOD-323,-37.99mm,43.77mm,T,180,BAT20JFILM,5,
D38,SOD-323,-67.04mm,50.75mm,T,180,LOWLEAKAGE,5,4W
D39,SOD-323,-67.04mm,52.34mm,T,0,LOWLEAKAGE,5,4W
D40,SOD-323,-44.18mm,46.94mm,T,180,LOWLEAKAGE,5,
D41,SMA-DIODE,-60.37mm,49.64mm,T,-90,TVSSMA,5,4W
D42,SMA-DIODE,-55.77mm,52.50mm,T,-90,TVSSMA,5,4W
D43,SOD-323,-44.18mm,48.53mm,T,0,LOWLEAKAGE,5,
