Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
,,,,,,,,
C5,0402-CAP,-1.00mm,-1.00mm,T,-90,,,
C6,0402-CAP,-14.11mm,-2.84mm,T,-90,,,
C23,0402-CAP,-201.82mm,83.83mm,T,180,120n,1,
C24,0402-CAP,-199.60mm,94.46mm,T,90,0.1u,1,
C25,0402-CAP,-207.38mm,90.81mm,T,90,0.1u,1,
C32,402,-202.78mm,97.80mm,T,180,0.1u,1,
C33,0603-CAP,-203.09mm,94.62mm,T,180,0.1u,1,
C35,0402-CAP,-198.17mm,118.75mm,T,-90,0.1u,1,
C37,0402-CAP,-197.22mm,112.72mm,T,0,22u,1,
C38,0402-CAP,-187.82mm,83.83mm,T,180,120n,2,
C39,0402-CAP,-185.60mm,94.46mm,T,90,0.1u,2,
C40,0402-CAP,-193.38mm,90.81mm,T,90,0.1u,2,
C47,402,-188.78mm,97.80mm,T,180,0.1u,2,
C48,0603-CAP,-189.09mm,94.62mm,T,180,0.1u,2,
C50,0402-CAP,-184.17mm,118.75mm,T,-90,0.1u,2,
C52,0402-CAP,-183.22mm,112.72mm,T,0,22u,2,
C68,0402-CAP,-173.82mm,83.83mm,T,180,120n,3,
C69,0402-CAP,-171.60mm,94.46mm,T,90,0.1u,3,
C70,0402-CAP,-179.38mm,90.81mm,T,90,0.1u,3,
C77,402,-174.78mm,97.80mm,T,180,0.1u,3,
C78,0603-CAP,-175.09mm,94.62mm,T,180,0.1u,3,
C80,0402-CAP,-170.17mm,118.75mm,T,-90,0.1u,3,
C82,0402-CAP,-169.22mm,112.72mm,T,0,22u,3,
C98,0402-CAP,-159.82mm,83.83mm,T,180,120n,4,
C99,0402-CAP,-157.60mm,94.46mm,T,90,0.1u,4,
C100,0402-CAP,-165.38mm,90.81mm,T,90,0.1u,4,
C107,402,-160.78mm,97.80mm,T,180,0.1u,4,
C108,0603-CAP,-161.09mm,94.62mm,T,180,0.1u,4,
C110,0402-CAP,-156.17mm,118.75mm,T,-90,0.1u,4,
C112,0402-CAP,-155.22mm,112.72mm,T,0,22u,4,
C128,0402-CAP,-145.82mm,83.83mm,T,180,120n,5,
C129,0402-CAP,-143.60mm,94.46mm,T,90,0.1u,5,
C130,0402-CAP,-151.38mm,90.81mm,T,90,0.1u,5,
C137,402,-146.78mm,97.80mm,T,180,0.1u,5,
C138,0603-CAP,-147.09mm,94.62mm,T,180,0.1u,5,
C140,0402-CAP,-142.17mm,118.75mm,T,-90,0.1u,5,
C142,0402-CAP,-141.22mm,112.72mm,T,0,22u,5,
C158,0402-CAP,-131.82mm,83.83mm,T,180,120n,6,
C159,0402-CAP,-129.60mm,94.46mm,T,90,0.1u,6,
C160,0402-CAP,-137.38mm,90.81mm,T,90,0.1u,6,
C162,0402-CAP,-109.24mm,57.45mm,T,90,470n,,
C163,0402-CAP,-98.77mm,51.25mm,T,-90,470n,,
C164,0402-CAP,-98.77mm,53.95mm,T,90,470n,,
C165,0402-CAP,-98.93mm,57.13mm,T,90,470n,,
C168,0402-CAP,-97.34mm,53.95mm,T,90,0.1u,,
C169,0402-CAP,-97.66mm,57.13mm,T,90,0.1u,,
C170,0402-CAP,-98.45mm,47.29mm,T,180,10n,,
C171,0402-CAP,-101.78mm,36.97mm,T,-90,0.1u,,
C172,0402-CAP,-47.97mm,70.94mm,T,180,0.1u,,
C173,0402-CAP,-98.61mm,38.24mm,T,0,1u,,
C174,805,-94.96mm,40.78mm,T,90,10u,,
C175,0402-CAP,-96.54mm,40.62mm,T,90,0.1u,,
C176,0402-CAP,-103.05mm,36.97mm,T,90,1u,,
C177,0402-CAP,-51.78mm,65.86mm,T,-90,2.2u,,
C181,0402-CAP,-100.51mm,37.76mm,T,90,1u,,
C193,0402-CAP,-59.87mm,53.80mm,T,90,0.1u,,
C198,0402-CAP,-123.06mm,45.06mm,T,-90,0.1u,,
C199,805,-86.07mm,55.54mm,T,90,10u,,
C200,805,-91.78mm,55.86mm,T,90,10u,,
C201,0402-CAP,-87.65mm,57.92mm,T,180,10n,,
C202,0402-CAP,-93.53mm,57.92mm,T,180,10n,,
C203,805,-86.07mm,52.68mm,T,90,10u,,
C204,0402-CAP,-89.40mm,50.62mm,T,180,10n,,
C205,805,-91.78mm,53.00mm,T,90,10u,,
C206,0402-CAP,-94.00mm,50.94mm,T,0,10n,,
C207,0402-CAP,-126.07mm,41.73mm,T,-90,0.1u,,
C208,805,-124.01mm,38.56mm,T,90,10u,,
C209,805,-117.82mm,43.16mm,T,0,10u,,
C210,0402-CAP,-122.58mm,38.71mm,T,90,0.1u,,
C211,0402-CAP,-117.66mm,41.73mm,T,0,1n,,
C212,805,-89.08mm,43.79mm,T,-90,10u,,
C213,0402-CAP,-87.65mm,41.41mm,T,0,10n,,
C214,0402-CAP,-116.86mm,40.30mm,T,180,10n,,
C215,805,-51.62mm,35.06mm,T,0,10u,,
C216,0402-CAP,-50.82mm,32.36mm,T,0,0.1u,,
C217,0402-CAP,-48.12mm,39.51mm,T,-90,22p,,
C218,0402-CAP,-50.03mm,39.51mm,T,-90,22p,,
C219,0402-CAP,-43.05mm,39.98mm,T,90,0.1u,,
C220,805,-89.08mm,46.81mm,T,-90,10u,,
C221,0402-CAP,-85.91mm,48.56mm,T,0,10n,,
C222,0402-CAP,-44.31mm,39.98mm,T,90,1u,,
C223,0402-CAP,-72.25mm,53.00mm,T,-90,0.1u,,
C224,0402-CAP,-37.49mm,36.17mm,T,90,0.1u,,
C226,0402-CAP,-75.11mm,35.86mm,T,-90,0.1u,,
C227,805,-147.19mm,7.76mm,T,-90,10u,,
C228,0402-CAP,-148.77mm,7.28mm,T,-90,0.1u,,
C229,0402-CAP,-142.58mm,8.87mm,T,-90,22p,,
C230,0402-CAP,-144.01mm,8.87mm,T,-90,22p,,
C231,0402-CAP,-139.25mm,-0.34mm,T,0,0.1u,,
C232,0402-CAP,-138.93mm,0.93mm,T,0,1u,,
C233,0402-CAP,-154.29mm,-9.87mm,T,-90,0.1u,,
C234,0402-CAP,-152.58mm,0.93mm,T,180,0.1u,,
C235,0402-CAP,-141.15mm,-3.83mm,T,0,0.1u,,
C236,0402-CAP,-38.60mm,48.56mm,T,-90,0.1u,,
C237,0402-CAP,-24.95mm,45.70mm,T,-90,0.1u,,
C240,0402-CAP,-199.09mm,-15.34mm,T,-90,0.1u,,
C241,0402-CAP,-205.68mm,-9.16mm,T,90,4.7u,,
C245,0402-CAP,-21.61mm,43.95mm,T,-90,0.1u,,
C246,LLL31,-162.79mm,-4.66mm,T,0,1u,,
C247,LLL31,-184.50mm,-4.99mm,T,0,1u,,
C249,0402-CAP,-15.42mm,44.75mm,T,0,2.2u,,
C250,LLL31,-171.71mm,-6.89mm,T,-90,1u,,
C251,LLL31,-172.45mm,-8.29mm,T,90,1u,,
C256,0402-CAP,-150.68mm,52.68mm,T,0,0.1u,,
C257,0402-CAP,-126.71mm,70.94mm,T,180,0.1u,,
C258,0402-CAP,-130.52mm,65.86mm,T,-90,2.2u,,
C269,0402-CAP,-138.61mm,53.80mm,T,90,0.1u,,
C272,0402-CAP,-1.77mm,47.29mm,T,0,,,
C273,0402-CAP,-1.77mm,48.72mm,T,180,,,
C274,0402-CAP,-6.06mm,43.64mm,T,-90,,,
C275,0402-CAP,-3.52mm,48.08mm,T,-90,,,
C276,0402-CAP,-13.68mm,48.56mm,T,-90,,,
C277,0402-CAP,-4.15mm,53.95mm,T,-90,,,
C278,0402-CAP,-2.88mm,55.38mm,T,-90,,,
C279,0402-CAP,-4.15mm,56.34mm,T,-90,,,
C280,805,-4.31mm,51.10mm,T,90,47u,,
C281,0402-CAP,-14.63mm,54.91mm,T,90,,,
C282,0402-CAP,-14.79mm,52.37mm,T,90,,,
C283,0402-CAP,-16.22mm,51.10mm,T,-90,,,
C288,402,-132.78mm,97.80mm,T,180,0.1u,6,
C289,0603-CAP,-133.09mm,94.62mm,T,180,0.1u,6,
C291,0402-CAP,-128.17mm,118.75mm,T,-90,0.1u,6,
C293,0402-CAP,-127.22mm,112.72mm,T,0,22u,6,
C309,0402-CAP,-149.09mm,24.90mm,T,180,0.1u,,
C310,0402-CAP,-105.91mm,57.76mm,T,0,10n,,
C311,0402-CAP,-105.28mm,40.62mm,T,90,18p,,
C312,0402-CAP,-105.28mm,37.76mm,T,-90,18p,,
C314,0402-CAP,-117.82mm,83.83mm,T,180,120n,7,
C315,0402-CAP,-115.60mm,94.46mm,T,90,0.1u,7,
C316,0402-CAP,-123.38mm,90.81mm,T,90,0.1u,7,
C323,402,-118.78mm,97.80mm,T,180,0.1u,7,
C324,0603-CAP,-119.09mm,94.62mm,T,180,0.1u,7,
C326,0402-CAP,-114.17mm,118.75mm,T,-90,0.1u,7,
C328,0402-CAP,-113.22mm,112.72mm,T,0,22u,7,
C344,0402-CAP,-103.82mm,83.83mm,T,180,120n,8,
C345,0402-CAP,-101.60mm,94.46mm,T,90,0.1u,8,
C346,0402-CAP,-109.38mm,90.81mm,T,90,0.1u,8,
C353,402,-104.78mm,97.80mm,T,180,0.1u,8,
C354,0603-CAP,-105.09mm,94.62mm,T,180,0.1u,8,
C356,0402-CAP,-100.17mm,118.75mm,T,-90,0.1u,8,
C358,0402-CAP,-99.22mm,112.72mm,T,0,22u,8,
C374,0402-CAP,-89.82mm,83.83mm,T,180,120n,9,
C375,0402-CAP,-87.60mm,94.46mm,T,90,0.1u,9,
C376,0402-CAP,-95.38mm,90.81mm,T,90,0.1u,9,
C383,402,-90.78mm,97.80mm,T,180,0.1u,9,
C384,0603-CAP,-91.09mm,94.62mm,T,180,0.1u,9,
C386,0402-CAP,-86.17mm,118.75mm,T,-90,0.1u,9,
C388,0402-CAP,-85.22mm,112.72mm,T,0,22u,9,
C404,0402-CAP,-75.82mm,83.83mm,T,180,120n,10,
C405,0402-CAP,-73.60mm,94.46mm,T,90,0.1u,10,
C406,0402-CAP,-81.38mm,90.81mm,T,90,0.1u,10,
C413,402,-76.78mm,97.80mm,T,180,0.1u,10,
C414,0603-CAP,-77.09mm,94.62mm,T,180,0.1u,10,
C416,0402-CAP,-72.17mm,118.75mm,T,-90,0.1u,10,
C418,0402-CAP,-71.22mm,112.72mm,T,0,22u,10,
C434,0402-CAP,-61.82mm,83.83mm,T,180,120n,11,
C435,0402-CAP,-59.60mm,94.46mm,T,90,0.1u,11,
C436,0402-CAP,-67.38mm,90.81mm,T,90,0.1u,11,
C443,402,-62.78mm,97.80mm,T,180,0.1u,11,
C444,0603-CAP,-63.09mm,94.62mm,T,180,0.1u,11,
C446,0402-CAP,-58.17mm,118.75mm,T,-90,0.1u,11,
C448,0402-CAP,-57.22mm,112.72mm,T,0,22u,11,
C464,0402-CAP,-47.82mm,83.83mm,T,180,120n,12,
C465,0402-CAP,-45.60mm,94.46mm,T,90,0.1u,12,
C466,0402-CAP,-53.38mm,90.81mm,T,90,0.1u,12,
C473,402,-48.78mm,97.80mm,T,180,0.1u,12,
C474,0603-CAP,-49.09mm,94.62mm,T,180,0.1u,12,
C476,0402-CAP,-44.17mm,118.75mm,T,-90,0.1u,12,
C478,0402-CAP,-43.22mm,112.72mm,T,0,22u,12,
C494,0402-CAP,-33.82mm,83.83mm,T,180,120n,13,
C495,0402-CAP,-31.60mm,94.46mm,T,90,0.1u,13,
C496,0402-CAP,-39.38mm,90.81mm,T,90,0.1u,13,
C503,402,-34.78mm,97.80mm,T,180,0.1u,13,
C504,0603-CAP,-35.09mm,94.62mm,T,180,0.1u,13,
C506,0402-CAP,-30.17mm,118.75mm,T,-90,0.1u,13,
C508,0402-CAP,-29.22mm,112.72mm,T,0,22u,13,
C524,0402-CAP,-19.82mm,83.83mm,T,180,120n,14,
C525,0402-CAP,-17.60mm,94.46mm,T,90,0.1u,14,
C526,0402-CAP,-25.38mm,90.81mm,T,90,0.1u,14,
C533,402,-20.78mm,97.80mm,T,180,0.1u,14,
C534,0603-CAP,-21.09mm,94.62mm,T,180,0.1u,14,
C536,0402-CAP,-16.17mm,118.75mm,T,-90,0.1u,14,
C538,0402-CAP,-15.22mm,112.72mm,T,0,22u,14,
C554,0402-CAP,-5.82mm,83.83mm,T,180,120n,15,
C555,0402-CAP,-3.60mm,94.46mm,T,90,0.1u,15,
C556,0402-CAP,-11.38mm,90.81mm,T,90,0.1u,15,
C563,402,-6.78mm,97.80mm,T,180,0.1u,15,
C564,0603-CAP,-7.09mm,94.62mm,T,180,0.1u,15,
C566,0402-CAP,-2.17mm,118.75mm,T,-90,0.1u,15,
C568,0402-CAP,-1.22mm,112.72mm,T,0,22u,15,
C584,0402-CAP,8.18mm,83.83mm,T,180,120n,16,
C585,0402-CAP,10.40mm,94.46mm,T,90,0.1u,16,
C586,0402-CAP,2.62mm,90.81mm,T,90,0.1u,16,
C593,402,7.22mm,97.80mm,T,180,0.1u,16,
C594,0603-CAP,6.91mm,94.62mm,T,180,0.1u,16,
C596,0402-CAP,11.83mm,118.75mm,T,-90,0.1u,16,
C598,0402-CAP,12.78mm,112.72mm,T,0,22u,16,
D1,SOD-323,-23.79mm,-5.54mm,T,90,BAT20JFILM,,
D2,SOD-323,-25.38mm,-5.54mm,T,-90,BAT20JFILM,,
D3,SOD-323,-202.87mm,-11.10mm,T,180,BAT20JFILM,,
D21,SOD-323,-24.27mm,1.44mm,T,0,BAT20JFILM,,
D31,SOD-323,-24.27mm,-0.14mm,T,180,BAT20JFILM,,
D32,SOD-323,-9.65mm,-3.39mm,T,90,BAT20JFILM,,
D33,SOD-323,-8.03mm,-3.35mm,T,-90,BAT20JFILM,,
D145,SOD-323,-102.42mm,59.03mm,T,180,BAT20J,,
D146,SOD-323,-102.42mm,60.62mm,T,0,BAT20J,,
D152,SOD-323,-38.28mm,40.46mm,T,180,250mA/100V,,
D153,LED-0603,-47.81mm,43.16mm,T,0,GREEN,,
D154,LED-0603,-137.66mm,10.62mm,T,90,RED,,
D155,LED-0603,-208.22mm,-11.06mm,T,90,RED,,
D156,LED-0603,-159.88mm,-17.96mm,T,0,GREEN,,
D157,LED-0603,-183.86mm,-20.18mm,T,180,RED,,
D158,SOD-323,-195.84mm,-9.79mm,T,0,250mA/100V,,
D161,SMA-DIODE,-165.00mm,-3.11mm,T,90,B340A,,
